treatment,Y
toe,1.758393
toe,-0.224832
toe,-2.182012
toe,-3.859125
toe,-4.583918
toe,-4.393514
toe,-3.148852
toe,-0.521216
toe,2.699187
toe,5.696554
toe,7.626191
toe,8.706195
toe,8.220306
toe,6.100863
toe,5.354366
toe,7.163054
toe,10.510843
toe,15.701748
toe,22.101839
toe,29.471913
toe,32.249237
toe,28.378736
toe,22.787862
toe,19.70188
toe,18.136585
toe,16.798218
toe,15.452965
toe,14.608871
toe,13.781092
toe,12.440929
toe,10.919343
toe,9.436826
toe,7.651788
toe,5.49178
toe,3.111879
toe,1.017135
toe,-0.611179
toe,-2.227817
toe,-3.626808
toe,-4.1838
toe,-3.704347
toe,-3.037783
toe,-2.12573
toe,-0.458796
toe,1.417552
toe,3.143313
toe,4.952601
toe,5.838159
toe,5.514832
toe,5.548063
toe,8.522827
toe,13.121564
toe,17.866247
toe,24.299569
toe,30.033395
toe,30.995894
toe,27.510242
toe,23.339765
toe,21.489313
toe,20.217408
toe,18.058148
toe,16.08061
toe,14.547498
toe,12.843592
toe,10.945838
toe,9.112451
toe,7.366032
toe,5.694309
toe,4.364025
toe,3.709586
toe,3.352429
toe,2.54381
toe,1.365161
toe,0.039069
toe,-0.978815
toe,-1.49569
toe,-1.165776
toe,-0.810564
toe,-0.736319
toe,-0.307161
toe,1.134641
toe,2.974016
toe,4.764742
toe,6.300698
toe,7.299421
toe,6.412066
toe,4.286486
toe,4.451743
toe,8.327782
toe,10.840457
toe,13.93093
toe,20.068168
toe,29.595107
toe,38.126765
toe,32.873589
toe,25.320745
toe,20.199894
toe,16.977695
toe,14.925762
toe,13.890365
toe,13.625266
toe,13.727953
toe,13.510455
toe,12.344679
toe,10.199041
toe,7.791897
toe,5.345384
toe,3.171904
toe,1.069975
toe,-0.95217
toe,-2.699636
toe,-3.766318
toe,-3.979624
toe,-3.748954
toe,-3.148403
toe,-2.070494
toe,-0.071102
toe,2.349065
toe,4.247268
toe,6.253845
toe,8.050409
toe,8.481812
toe,7.961644
toe,8.26626
toe,10.872491
toe,13.505365
toe,15.640226
toe,20.727397
toe,28.334428
toe,31.840288
toe,29.222831
toe,23.252346
toe,19.11016
toe,16.536861
toe,14.8114
toe,13.823604
toe,13.041929
toe,11.970607
toe,10.613978
toe,9.127868
toe,7.782317
toe,6.184539
toe,4.49635
toe,2.586022
toe,0.454156
toe,-1.639091
toe,-3.695216
toe,-4.881649
toe,-4.556974
toe,-3.513344
toe,-2.294429
toe,-0.998873
toe,1.008303
toe,3.617677
toe,6.558312
toe,8.906479
toe,9.847722
toe,8.187973
toe,6.152356
toe,7.654482
toe,11.164833
toe,16.304095
toe,22.924079
toe,31.841635
toe,35.952387
toe,28.683053
toe,20.824845
toe,16.665444
toe,14.953903
toe,14.204112
toe,14.307697
toe,15.826289
toe,18.498083
toe,20.770657
toe,19.983744
toe,15.928676
toe,11.282338
toe,7.332053
toe,3.835324
toe,0.423469
toe,-2.61611
toe,-4.695136
toe,-5.839207
toe,-6.205047
toe,-5.75613
toe,-4.7369
toe,-3.489244
toe,-2.020049
toe,-0.123942
toe,2.557581
toe,5.11172
toe,7.066206
toe,8.51624
toe,8.928333
toe,8.968899
toe,9.693991
toe,11.355536
toe,13.911172
toe,18.071919
toe,27.286008
toe,34.717904
toe,33.662449
toe,26.652077
toe,20.007843
toe,14.84987
toe,11.18519
toe,9.357641
toe,8.799601
toe,8.897198
toe,9.520652
toe,9.686207
toe,9.201815
toe,8.248747
toe,6.570886
toe,4.17871
toe,1.380429
toe,-1.138383
toe,-2.991679
toe,-3.994743
toe,-3.810177
toe,-2.558779
toe,-0.677641
toe,1.272354
toe,3.487298
toe,5.095853
toe,5.931565
toe,6.353089
toe,6.486012
toe,5.981112
toe,5.172494
toe,5.813611
toe,9.379795
toe,13.434712
toe,18.325492
toe,25.038881
toe,33.686399
toe,38.684056
toe,32.054492
toe,22.079535
toe,17.596208
toe,15.765965
toe,14.833104
toe,14.470858
toe,14.564563
toe,14.069842
toe,13.107193
toe,10.79106
toe,7.36214
toe,3.765719
toe,0.604892
toe,-1.872606
toe,-3.729045
toe,-4.673881
toe,-4.679569
toe,-3.853736
toe,-3.335214
toe,-3.442541
toe,-3.109184
toe,-1.796265
toe,0.47616
toe,3.061883
toe,5.32338
toe,7.5256
toe,8.320597
toe,7.825876
toe,6.24651
toe,5.838908
toe,8.765771
toe,12.946877
toe,18.34076
toe,28.942614
toe,38.508172
toe,37.271593
toe,27.973978
toe,20.333566
toe,15.292349
toe,11.919563
toe,10.908715
toe,11.895613
toe,13.012291
toe,13.542039
toe,13.161081
toe,11.929143
toe,10.189461
toe,8.078251
toe,5.661976
toe,3.220253
toe,0.921933
toe,-1.398691
toe,-3.039879
toe,-3.641028
toe,-3.482807
toe,-2.681075
toe,-1.214574
toe,0.266596
toe,1.970053
toe,3.9431
toe,6.208789
toe,8.327932
toe,9.937684
toe,10.207873
toe,8.951385
toe,7.416477
toe,7.647597
toe,9.108559
toe,11.753858
toe,16.291522
toe,22.473815
toe,28.82406
toe,31.189441
toe,27.487489
toe,22.398821
toe,19.214942
toe,17.080681
toe,15.483951
toe,13.986166
toe,12.852274
toe,11.706406
toe,10.013277
toe,7.761061
toe,5.004094
toe,2.134861
toe,-0.66372
toe,-3.24585
toe,-5.325027
toe,-6.165678
toe,-5.373675
toe,-3.982468
toe,-2.216291
toe,0.250429
toe,2.488874
toe,3.27489
toe,3.651956
toe,4.043242
toe,4.854854
toe,5.420977
toe,6.055957
toe,7.07354
toe,9.203162
toe,12.629387
toe,15.327826
toe,18.04258
toe,24.738306
toe,32.278876
toe,35.559753
toe,31.816787
toe,26.569748
toe,22.619912
toe,19.25461
toe,15.72944
toe,13.329631
toe,12.281361
toe,11.008258
toe,9.181756
toe,7.444619
toe,6.12152
toe,5.242698
toe,4.315825
toe,3.483706
toe,2.79409
toe,1.863625
toe,0.561482
toe,-0.56283
toe,-1.199755
toe,-1.590892
toe,-1.286575
toe,-0.652793
toe,0.49038
toe,1.887126
toe,3.09212
toe,3.739374
toe,4.309688
toe,4.535419
toe,4.082161
toe,3.405718
toe,3.131338
toe,4.888834
toe,7.641759
toe,12.471316
toe,20.172351
toe,31.288535
toe,42.489293
toe,36.399207
toe,24.474405
toe,18.673818
toe,16.324453
toe,15.228881
toe,14.206208
toe,13.038187
toe,12.398417
toe,11.934233
toe,10.80528
toe,8.611592
toe,6.113287
toe,4.09249
toe,2.545906
toe,1.185385
toe,-0.196841
toe,-1.365011
toe,-2.405797
toe,-3.168162
toe,-3.492837
toe,-3.562741
toe,-2.824776
toe,-1.193917
toe,1.090931
