n,Yheel,Ytoe
737,11.985576,-2.056873
738,9.423055,-2.310445
739,7.207961,-2.534529
740,5.311704,-2.473606
741,3.840264,-2.049688
742,2.841391,-1.153651
743,2.178869,0.233065
744,1.67846,2.101031
745,1.162932,3.666625
746,0.235161,4.74154
747,-0.556393,5.979765
748,-0.835862,7.071894
749,-0.8658,8.14112
750,-0.546214,10.508298
751,0.238754,13.809383
752,1.353635,17.374969
753,2.762805,22.176534
754,3.869154,28.305239
755,4.766837,30.820758
756,4.433181,27.67954
757,4.231101,22.987098
758,7.792495,19.013461
759,13.097763,15.812368
760,17.686022,13.072765
761,21.903801,11.833941
762,25.309818,11.616294
763,26.062902,11.64698
764,24.867937,11.509865
765,22.935755,10.951975
766,21.499192,10.124496
767,20.464244,9.019045
768,19.032771,7.938442
769,17.45131,6.898854
770,15.635586,5.652396
771,13.521083,4.129313
772,11.180101,2.2359
773,8.589139,0.183069
774,6.318211,-1.807042
775,4.672533,-3.550467
776,3.905828,-4.495452
777,3.883075,-4.342769
778,4.068988,-2.534978
779,4.224814,0.074545
780,3.874842,2.458038
781,2.860402,4.449647
782,1.271157,5.812563
783,-0.074395,6.606212
784,-0.620909,6.196814
785,-0.654888,5.068759
786,-0.548609,5.513185
787,-0.102088,7.630233
788,0.994532,10.681188
789,2.407144,14.84463
790,3.826044,22.13971
791,4.850214,30.484707
792,4.79917,33.033906
793,3.317252,28.236682
794,3.079097,23.01988
795,6.346203,20.167861
796,10.641221,19.044447
797,15.037729,18.058747
798,20.325333,16.899108
799,26.966573,15.864011
800,31.309043,14.900913
801,28.854447,13.502072
802,22.167103,11.477383
803,17.777182,9.032068
804,16.517701,6.478228
805,16.226557,3.938909
806,16.149916,1.88982
807,16.612005,0.276774
808,16.925453,-0.726739
809,16.287779,-1.74582
810,14.334641,-2.767295
811,11.91627,-3.471132
812,9.78575,-3.668721
813,8.05475,-3.397784
814,6.43916,-2.064058
815,4.877906,0.05284
816,3.516188,2.307152
817,2.170037,4.238885
818,0.957559,5.399721
819,-0.067659,5.464686
820,-0.797841,4.681814
821,-0.996029,4.778812
822,-0.939147,7.026987
823,-0.820294,10.378667
824,-0.157473,14.809454
825,1.009351,26.639353
826,2.313589,37.861068
827,3.461252,38.360429
828,4.049529,29.93505
829,3.810326,22.406156
830,4.431684,17.569414
831,8.215216,14.98414
832,13.149106,13.70011
833,18.02342,12.283007
834,23.830893,10.689272
835,28.11708,8.83373
836,28.018735,7.025341
837,24.913143,5.353467
838,21.734653,4.254303
839,19.527193,3.925437
840,18.048568,3.712729
841,16.556471,3.052452
842,15.481406,1.984872
843,14.548247,0.54816
844,13.279635,-1.143023
845,11.339669,-2.648443
846,8.971743,-2.906955
847,6.719976,-2.359094
848,5.212311,-1.29361
849,4.530479,0.527204
850,4.293372,2.668052
851,4.171376,4.806205
852,4.018843,6.817124
853,3.49598,8.308323
854,2.470612,8.685089
855,1.329685,9.014854
856,0.356109,10.555001
857,-0.347128,12.996124
858,-0.784968,15.505057
859,-0.843197,16.994759
860,-0.44233,19.793789
861,0.529449,24.956253
862,1.787134,28.956086
863,3.352878,28.023375
864,4.149671,24.104524
865,3.693719,20.851788
866,2.936743,18.632354
867,4.301455,16.347355
868,7.744146,14.101875
869,12.352313,12.027938
870,18.377733,10.438543
871,25.469236,8.937914
872,31.870076,7.151528
873,32.213462,5.1933
874,25.232878,3.306474
875,19.953956,1.530867
876,18.159487,-0.061672
877,18.003212,-0.957858
878,18.04752,-1.138233
879,18.084343,-0.939147
880,17.567468,-1.082699
881,16.05651,-1.801055
882,13.839022,-2.600542
883,11.135643,-2.982099
884,8.510852,-2.338138
885,6.360423,-0.317789
886,4.649631,2.030677
887,3.492687,4.114344
888,2.52001,6.026767
889,1.686243,7.300319
890,0.933459,7.45375
891,0.331261,7.212152
892,-0.310903,8.4637
893,-0.61567,11.570938
894,-0.726439,15.281123
895,-0.814756,19.965033
896,-0.716261,27.24185
897,-0.181872,34.947077
898,0.659678,36.398758
899,2.020947,29.56951
900,3.485502,23.450235
901,4.071833,18.342107
902,4.230054,13.228741
903,5.490433,9.10811
904,9.802366,8.151748
905,14.919325,9.290281
906,19.106717,9.980645
907,23.210284,10.048304
908,26.287136,9.775572
909,26.54475,9.385782
910,23.974894,8.811277
911,21.245769,7.662566
912,20.204085,5.930368
913,19.848575,3.849844
914,18.399887,1.801204
915,16.660355,-0.460592
916,14.926061,-2.662813
917,13.145364,-3.99624
918,11.092533,-4.003724
919,8.650062,-3.027903
920,6.44859,-1.531465
921,4.825964,-0.032183
922,4.028423,1.428779
923,3.836372,2.627336
924,3.813021,3.362907
925,3.746858,3.788322
926,3.391198,3.727549
927,2.819387,3.781137
928,1.967958,3.933221
929,1.139131,4.310137
930,0.616718,7.615264
931,-0.050894,14.014157
932,-0.81281,20.844005
933,-0.970133,28.913424
934,-0.670156,36.927758
935,0.314346,35.324742
936,1.621877,26.247468
937,2.390529,19.950064
938,2.548001,17.027691
939,2.044748,16.250357
940,2.997966,15.63843
941,7.020251,15.020215
942,12.183614,15.50371
943,19.200123,16.010107
944,26.809849,15.494579
945,32.367941,13.631254
946,31.195429,11.065739
947,24.540568,8.133786
948,19.279458,5.153483
949,16.948356,2.090852
950,16.169376,-0.440235
951,15.59038,-1.955983
952,16.086897,-2.957101
953,17.297579,-3.459456
954,18.36471,-3.441194
955,18.309326,-3.288362
956,16.57593,-2.939886
957,13.765075,-1.82725
958,10.917397,0.167651
959,8.352331,2.494113
960,5.990243,4.456982
961,4.076922,6.377488
